State,District,Year,Arhar/Tur,Unnamed: 4,Unnamed: 5,Bajra,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Cotton(lint),Unnamed: 13,Unnamed: 14,Gram,Unnamed: 16,Unnamed: 17,Groundnut,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Jowar,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Linseed,Unnamed: 34,Unnamed: 35,Maize,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Moong(Green Gram),Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Niger seed,Unnamed: 52,Unnamed: 53,Other Rabi pulses,Unnamed: 55,Unnamed: 56,Other Cereals,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Other Kharif pulses,Unnamed: 67,Unnamed: 68,other oilseeds,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Other Summer Pulses,Unnamed: 79,Unnamed: 80,Ragi,Unnamed: 82,Unnamed: 83,Rapeseed &Mustard,Unnamed: 85,Unnamed: 86,Rice,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Sesamum,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Soyabean,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Sugarcane,Unnamed: 109,Unnamed: 110,Sunflower,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Urad,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Wheat,Unnamed: 127,Unnamed: 128,Safflower,Unnamed: 130,Unnamed: 131,Tobacco,Unnamed: 133,Unnamed: 134
1. Maharashtra,25. Pune,2022 - 2023,997,829,0.83,33942,54931,1.62,4672.07,4251.58,0.91,423.1,1017,2.4,29458.13,32350.04,1.1,7918.22,8244.45,1.04,5052,7363,1.46,164.3,50.47,0.31,71280.15,66639.81,0.93,182,151.32,0.83,2,16.89,0,27060,100248,3.7,15574.25,79174.82,5.08,5505.82,9624.17,1.75,9877.36,7053.42,0.71,63.1,11.62,0.18,399.51,182.18,0.46,5857.4,2518.98,0.43,533,308.61,0.58,94.3,24.96,0.26,19.5,16.69,0.86,8330,3841,0.46,32,7.34,0.23,55.5,11.89,0.21,4.1,1.63,0.4,8,6.1,0.76,2000,1906,0.95,215,35,0.16,59820.51,151843.76,2.54,27,84.05,3.11,55.92,19.09,0.34,48.35,34.55,0.71,42,3,0,44340,115638,2.61,163.05,244.58,1.5,157570,16859990,107,152,71,0.47,96.63,113.07,1.17,16,14,0.88,1307.64,1001.39,0.77,51,27.48,0.54,47687.58,116262.32,2.44,2.82,1.55,0.55,848,2236,2.64
1. Maharashtra,26. Raigad,2019 - 2020,222,130,0.59,33942,54931,1.62,4672.07,4251.58,0.91,423.1,1017,2.4,1290,539,0.42,7918.22,8244.45,1.04,10,33,3.3,164.3,50.47,0.31,71280.15,66639.81,0.93,182,151.32,0.83,2,16.89,0,27060,100248,3.7,15574.25,79174.82,5.08,5505.82,9624.17,1.75,9877.36,7053.42,0.71,63.1,11.62,0.18,4,1,0.25,11679,4076,0.35,715,304,0.43,94.3,24.96,0.26,19.5,16.69,0.86,8330,3841,0.46,32,7.34,0.23,164,106,0.65,4.1,1.63,0.4,8,6.1,0.76,4911,4008,0.82,164,106,0.65,95932,185513,1.93,2969,9914,3.34,55.92,19.09,0.34,48.35,34.55,0.71,42,3,0,44340,115638,2.61,163.05,244.58,1.5,157570,16859990,107,152,71,0.47,96.63,113.07,1.17,16,14,0.88,1307.64,1001.39,0.77,51,27.48,0.54,47687.58,116262.32,2.44,2.82,1.55,0.55,848,2236,2.64
1. Maharashtra,26. Raigad,2020 - 2021,208.94,138.32,0.66,33942,54931,1.62,4672.07,4251.58,0.91,423.1,1017,2.4,1335.73,1224.39,0.92,7918.22,8244.45,1.04,10,39.94,3.99,164.3,50.47,0.31,71280.15,66639.81,0.93,182,151.32,0.83,2,16.89,0,27060,100248,3.7,15574.25,79174.82,5.08,5505.82,9624.17,1.75,1.4,0.51,0.36,63.1,11.62,0.18,33,3.71,0.11,11237.13,3921.76,0.35,409.5,174.04,0.43,94.3,24.96,0.26,19.5,16.69,0.86,17,8.35,0.49,19,5.42,0.29,9.8,4.41,0.45,4.1,1.63,0.4,8,6.1,0.76,5068.24,4814.09,0.95,164,106,0.65,95552.17,175742.34,1.84,3124.3,8740.42,2.8,55.92,19.09,0.34,48.35,34.55,0.71,42,3,0,44340,115638,2.61,163.05,244.58,1.5,157570,16859990,107,152,71,0.47,96.63,113.07,1.17,16,14,0.88,13.55,4.59,0.34,51,27.48,0.54,47687.58,116262.32,2.44,2.82,1.55,0.55,848,2236,2.64
1. Maharashtra,26. Raigad,2021 - 2022,1290.52,776.25,0.6,33942,54931,1.62,4672.07,4251.58,0.91,423.1,1017,2.4,985.16,905.07,0.92,18,15.71,0.87,9,32.02,3.56,164.3,50.47,0.31,71280.15,66639.81,0.93,182,151.32,0.83,2,16.89,0,27060,100248,3.7,15574.25,79174.82,5.08,5505.82,9624.17,1.75,1.4,0.51,0.36,0.26,0.05,0.18,33,5.65,0.17,12638.33,4423.42,0.35,371.93,158.07,0.42,94.3,24.96,0.26,19.5,16.69,0.86,17,8.35,0.49,19,5.42,0.29,11.2,5.04,0.45,4.1,1.63,0.4,6.5,2.28,0.35,5148.86,6216.74,1.21,164,106,0.65,95967.49,218410.2,2.28,3124.3,9094.34,2.91,55.92,19.09,0.34,48.35,34.55,0.71,42,3,0,44340,115638,2.61,163.05,244.58,1.5,157570,16859990,107,152,71,0.47,96.63,113.07,1.17,16,14,0.88,13.55,7.26,0.54,51,27.48,0.54,47687.58,116262.32,2.44,2.82,1.55,0.55,848,2236,2.64
1. Maharashtra,26. Raigad,2022 - 2023,980,630,0.64,33942,54931,1.62,4672.07,4251.58,0.91,423.1,1017,2.4,966.98,837.43,0.87,18,15.71,0.87,23,136,5.91,164.3,50.47,0.31,71280.15,66639.81,0.93,182,151.32,0.83,2,16.89,0,27060,100248,3.7,15574.25,79174.82,5.08,5505.82,9624.17,1.75,1.4,0.51,0.36,0.26,0.05,0.18,33,5.65,0.17,12993.52,4534.74,0.35,316.99,142.2,0.45,94.3,24.96,0.26,19.5,16.69,0.86,2,1,0.5,19,5.42,0.29,13.3,5.99,0.45,4.1,1.63,0.4,6.5,2.28,0.35,4905,4934,1.01,164,106,0.65,95155.61,253990,2.67,937.29,3797.54,4.05,55.92,19.09,0.34,48.35,34.55,0.71,42,3,0,44340,115638,2.61,163.05,244.58,1.5,157570,16859990,107,152,71,0.47,96.63,113.07,1.17,16,14,0.88,13.55,7.26,0.54,51,27.48,0.54,47687.58,116262.32,2.44,2.82,1.55,0.55,848,2236,2.64
1. Maharashtra,27. Ratnagiri,2019 - 2020,980,630,0.64,33942,54931,1.62,4672.07,4251.58,0.91,423.1,1017,2.4,211,101,0.48,18,15.71,0.87,59,143,2.42,164.3,50.47,0.31,71280.15,66639.81,0.93,182,151.32,0.83,2,16.89,0,27060,100248,3.7,23,60,2.61,5505.82,9624.17,1.75,1.4,0.51,0.36,0.26,0.05,0.18,33,5.65,0.17,4571,3451,0.75,371,186,0.5,1,1,1,19.5,16.69,0.86,12,6,0.5,12,3,0.25,212,137,0.65,4.1,1.63,0.4,6.5,2.28,0.35,10352,14540,1.4,212,137,0.65,75397,238591,3.16,14,28,2,53,20,0.38,48.35,34.55,0.71,42,3,0,44340,115638,2.61,163.05,244.58,1.5,157570,16859990,107,152,71,0.47,7,2,0.29,16,14,0.88,13.55,7.26,0.54,51,27.48,0.54,47687.58,116262.32,2.44,2.82,1.55,0.55,848,2236,2.64
1. Maharashtra,27. Ratnagiri,2020 - 2021,45.67,30.23,0.66,33942,54931,1.62,4672.07,4251.58,0.91,423.1,1017,2.4,66.66,61.1,0.92,11,10.3,0.94,59,88,1.49,164.3,50.47,0.31,71280.15,66639.81,0.93,182,151.32,0.83,2,16.89,0,27060,100248,3.7,9.7,26.64,2.75,5505.82,9624.17,1.75,11.45,4.16,0.36,0.26,0.05,0.18,35,3.93,0.11,5342.79,4033.81,0.76,389.31,195.04,0.5,67.87,68.41,1.01,19.5,16.69,0.86,26.4,13.73,0.52,8,2.28,0.29,166.76,107.89,0.65,4.1,1.63,0.4,6.5,2.28,0.35,10355.83,14967.96,1.45,212,137,0.65,75842.08,213611.59,2.82,14,27.4,1.96,35.16,10.43,0.3,3.65,1.87,0.51,42,3,0,44340,115638,2.61,163.05,244.58,1.5,157570,16859990,107,152,71,0.47,6.53,2.55,0.39,16,14,0.88,42,14.23,0.34,51,27.48,0.54,47687.58,116262.32,2.44,2.82,1.55,0.55,848,2236,2.64
1. Maharashtra,27. Ratnagiri,2021 - 2022,45.67,27.47,0.6,33942,54931,1.62,4672.07,4251.58,0.91,423.1,1017,2.4,24.9,22.88,0.92,11,9.6,0.87,59,96.29,1.63,164.3,50.47,0.31,71280.15,66639.81,0.93,2,1.66,0.83,2,16.89,0,27060,100248,3.7,35.4,87.21,2.46,5505.82,9624.17,1.75,11.45,4.16,0.36,0.51,0.09,0.18,10,1.71,0.17,5892.55,4537.26,0.77,416,208.42,0.5,28.67,29.24,1.02,19.5,16.69,0.86,313.36,163.01,0.52,12,4,0.33,72.73,28,0.38,4.1,1.63,0.4,155.61,54.47,0.35,10282.82,17432.46,1.7,212,137,0.65,77223.45,221160.16,2.86,14,37.59,2.69,16.89,3.22,0.19,3.65,1.87,0.51,42,3,0,44340,115638,2.61,163.05,244.58,1.5,157570,16859990,107,152,71,0.47,6.53,2.55,0.39,16,14,0.88,17.81,9.54,0.54,0.1,0.05,0.54,47687.58,116262.32,2.44,2.82,1.55,0.55,848,2236,2.64
1. Maharashtra,27. Ratnagiri,2022 - 2023,43,28,0.65,33942,54931,1.62,4672.07,4251.58,0.91,423.1,1017,2.4,24.9,22.88,0.92,11,10.1,0.92,32,75,2.34,164.3,50.47,0.31,71280.15,66639.81,0.93,2,1.66,0.83,2,16.89,0,27060,100248,3.7,34.5,94.83,2.75,5505.82,9624.17,1.75,11.45,4.16,0.36,3.66,0.67,0.18,10,1.71,0.17,7282.13,5607.24,0.77,382.01,321.04,0.84,17.29,17.64,1.02,19.5,16.69,0.86,39,22,0.56,0.3,0.09,0.31,65.22,43.37,0.66,0.7,0.43,0.61,62.78,30.1,0.48,10050,14141,1.41,212,137,0.65,69190.23,206440,2.98,10.5,37.5,3.57,16.94,5.78,0.34,3.65,1.87,0.51,42,3,0,44340,115638,2.61,163.05,244.58,1.5,19,1523.8,80.2,152,71,0.47,6.53,2.55,0.39,16,14,0.88,17.81,9.54,0.54,0.9,0.49,0.54,47687.58,116262.32,2.44,2.82,1.55,0.55,848,2236,2.64
1. Maharashtra,28. Sangli,2019 - 2020,8152,1676,0.21,55928,19760,0.35,4672.07,4251.58,0.91,95,179,1.88,22047,19322,0.88,31751,25864,0.81,636,969,1.52,45618,39364,0.86,156008,152237,0.98,2,1.66,0.83,12,6,0.5,36784,68207,1.85,22912,48111,2.1,1801,3602,2,6733,1369,0.2,3.66,0.67,0.18,10,1.71,0.17,242,73,0.3,936,89,0.1,17.29,17.64,1.02,19.5,16.69,0.86,8266,1736,0.21,34,6,0.18,4,43.37,0,0.7,0.43,0.61,62.78,30.1,0.48,10050,14141,1.41,4,137,0,15472,19618,1.27,10.5,37.5,3.57,16.94,5.78,0.34,3.65,1.87,0.51,42,3,0,42708,36583,0.86,163.05,244.58,1.5,89827,8987585,100.05,416,83,0.2,488,366,0.75,16,14,0.88,11992,3827,0.32,0.9,0.49,0.54,28867,49228,1.71,331,89,0.27,848,2236,2.64
